,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율,일일변동평균,샤프지수,종목명,PER,PBR,시가총액
242,255440,(주)야스,0.3330585759382672,6.56620768148227,3.1138821729709503,286.43,22.42,0.1597832949179979,10.55114140096547,야스,10.43,1.14,171060.0
243,011090,(주)에넥스,0.0177630265890997,-0.0,0.5849359765604899,117.59,150.97,0.5503547978422694,43.31507444741016,에넥스,0.0,2.5,135281.0
244,217480,(주)에스디생명공학,0.1577204946096601,-0.0,1.0535387002830765,151.21,59.41,0.1813753170900403,8.942077785174233,에스디생명공학,0.0,1.17,106023.0
245,101490,(주)에스앤에스텍,0.0902861725953582,11.99206902124508,7.273044819794567,545.61,13.04,0.3605455703224544,26.70461901335246,에스앤에스텍,60.98,7.17,690737.0
246,012750,(주)에스원,0.0831842501119332,13.239605364351656,1.4181929695760311,194.22,35.5,0.023835648996348,3.9438565616154375,에스원,18.84,2.34,3104533.0
247,123700,(주)에스제이엠,0.6262239696895918,-0.4057697274572764,1.081619865545269,479.14,13.68,0.2950211685420911,37.29103676229884,SJM,9.35,0.39,63902.0
248,025530,(주)에스제이엠홀딩스,-0.0005556951078854,-2.168158610704375,12.725189645882155,108.31,9.27,0.1877670021954667,36.91228871497463,SJM홀딩스,9.96,0.36,53986.0
249,005610,(주)에스피씨삼립,-0.7009860886216978,-1.1622165358759933,0.4943678240167392,51.96,217.03,0.0904089342669026,8.962901919999583,SPC삼립,29.09,1.94,625603.0
250,078520,(주)에이블씨엔씨,0.1419586434576814,-0.0,0.8916153896885032,232.68,41.46,-0.0033840047813256,-2.774873943252391,에이블씨엔씨,0.0,0.81,201129.0
251,015260,(주)에이엔피,-0.6108390623574921,-0.0,1.4776120822343923,118.21,155.39,0.0674892223339513,-1.590512528923644,에이엔피,0.0,0.31,31976.0
252,239610,(주)에이치엘사이언스,0.31286289762467,0.3320750468790485,1.5099012741444051,777.0,11.71,0.001814560172262,-1.0903319874516917,에이치엘사이언스,11.28,2.79,215970.0
253,224110,(주)에이텍티앤,-0.0016208102056184,1.5294163876741973,7.516865121947516,103.06,26.37,0.8325998433149012,76.12592269257937,에이텍티앤,78.23,4.1,200517.0
254,007460,(주)에이프로젠,-0.2593525675524599,-1.4782527834348456,4.428570524280231,77.0,80.18,0.1094858857142411,1.7204572489961982,에이프로젠 KIC,24.19,1.05,384627.0
255,230240,(주)에치에프알,0.0024680766608299,4.310463270736198,4.022213412676828,162.98,75.28,-0.0413405893207784,-6.8203472505193865,에치에프알,281.98,3.59,312389.0
256,230360,(주)에코마케팅,0.0990768950828391,0.9294299455823914,7.583011499644177,371.04,27.82,0.3450586891878585,36.82132119592548,에코마케팅,26.97,7.99,857324.0
257,007700,(주)에프앤에프홀딩스,0.127693913929208,0.330314119516726,2.443712398565587,239.33,41.39,0.1754847153340064,13.209850173706732,F&F,17.81,4.06,1963500.0
258,205100,(주)엑셈,0.2301517676989209,1.656805596800773,5.504287347343039,661.53,9.72,0.3157052428128664,32.62028972094744,엑셈,32.94,2.41,159586.0
