,종목코드,시장구분
487,065570,KOSDAQ
488,032280,KOSDAQ
489,002290,KOSDAQ
490,037460,KOSDAQ
491,032750,KOSDAQ
492,054090,KOSDAQ
493,000250,KOSDAQ
494,024950,KOSDAQ
495,038500,KOSDAQ
496,017480,KOSDAQ
497,046390,KOSDAQ
498,027580,KOSDAQ
499,038540,KOSDAQ
500,307870,KOSDAQ
501,329560,KOSDAQ
502,101000,KOSDAQ
503,091580,KOSDAQ
504,263810,KOSDAQ
505,089980,KOSDAQ
506,042940,KOSDAQ
507,042600,KOSDAQ
508,252990,KOSDAQ
509,263540,KOSDAQ
510,294630,KOSDAQ
511,038070,KOSDAQ
512,006730,KOSDAQ
513,079650,KOSDAQ
514,100660,KOSDAQ
515,019770,KOSDAQ
516,043710,KOSDAQ
517,092190,KOSDAQ
518,046890,KOSDAQ
519,063170,KOSDAQ
520,027040,KOSDAQ
521,018680,KOSDAQ
522,093920,KOSDAQ
523,189860,KOSDAQ
524,178320,KOSDAQ
525,122690,KOSDAQ
526,140070,KOSDAQ
527,011370,KOSDAQ
528,065710,KOSDAQ
529,035890,KOSDAQ
530,357550,KOSDAQ
531,003100,KOSDAQ
532,123420,KOSDAQ
533,171090,KOSDAQ
534,086710,KOSDAQ
535,014620,KOSDAQ
536,037350,KOSDAQ
537,081580,KOSDAQ
538,045300,KOSDAQ
539,015750,KOSDAQ
540,080470,KOSDAQ
541,043260,KOSDAQ
542,148150,KOSDAQ
543,053060,KOSDAQ
544,017510,KOSDAQ
545,011560,KOSDAQ
546,052190,KOSDAQ
547,100700,KOSDAQ
548,234100,KOSDAQ
549,024830,KOSDAQ
550,258830,KOSDAQ
551,036630,KOSDAQ
552,039310,KOSDAQ
553,067770,KOSDAQ
554,053450,KOSDAQ
555,234340,KOSDAQ
556,252500,KOSDAQ
557,347000,KOSDAQ
558,331920,KOSDAQ
559,049180,KOSDAQ
560,299660,KOSDAQ
561,268600,KOSDAQ
562,108860,KOSDAQ
563,208370,KOSDAQ
564,068760,KOSDAQ
565,091990,KOSDAQ
566,290690,KOSDAQ
567,053110,KOSDAQ
568,950200,KOSDAQ
569,032680,KOSDAQ
570,032685,KOSDAQ
571,258790,KOSDAQ
572,066910,KOSDAQ
573,043100,KOSDAQ
574,154040,KOSDAQ
575,035610,KOSDAQ
576,357780,KOSDAQ
577,036830,KOSDAQ
578,304100,KOSDAQ
579,086980,KOSDAQ
580,050960,KOSDAQ
581,084180,KOSDAQ
582,253840,KOSDAQ
583,058530,KOSDAQ
584,236200,KOSDAQ
585,317770,KOSDAQ
586,094840,KOSDAQ
587,192440,KOSDAQ
588,099440,KOSDAQ
589,033790,KOSDAQ
590,131100,KOSDAQ
591,159910,KOSDAQ
592,115570,KOSDAQ
593,253450,KOSDAQ
594,204630,KOSDAQ
595,013810,KOSDAQ
596,039670,KOSDAQ
597,049830,KOSDAQ
598,020710,KOSDAQ
599,033170,KOSDAQ
600,048870,KOSDAQ
601,025320,KOSDAQ
602,269620,KOSDAQ
603,131090,KOSDAQ
604,139050,KOSDAQ
605,290520,KOSDAQ
606,001000,KOSDAQ
607,025870,KOSDAQ
608,215600,KOSDAQ
609,065350,KOSDAQ
610,002800,KOSDAQ
611,323280,KOSDAQ
