,종목코드,종목명,PER,PBR,시가총액
523,090430,아모레퍼시픽,74.35,3.97,15111520.0
524,090435,아모레퍼시픽우,0.0,0.0,881579.0
525,002030,아세아,4.77,0.34,265114.0
526,183190,아세아시멘트,16.27,0.57,453862.0
527,002310,아세아제지,7.12,0.75,437525.0
528,267850,아시아나IDT,0.0,1.7,239760.0
529,020560,아시아나항공,0.0,1.42,1127338.0
530,122900,아이마켓코리아,18.78,0.89,303200.0
531,010780,아이에스동서,26.48,1.59,1751611.0
532,001780,알루코,0.0,1.67,382337.0
533,018250,애경산업,15.69,1.93,654966.0
534,161000,애경유화,12.01,1.02,371664.0
535,011090,에넥스,0.0,2.5,135281.0
536,005850,에스엘,11.27,0.79,1074933.0
537,012750,에스원,18.84,2.34,3104533.0
538,023960,에쓰씨엔지니어링,0.0,4.6,131680.0
539,298690,에어부산,0.0,2.01,306942.0
540,078520,에이블씨엔씨,0.0,0.81,201129.0
541,015260,에이엔피,0.0,0.31,31976.0
542,007460,에이프로젠 KIC,24.19,1.05,384627.0
543,003060,에이프로젠제약,0.0,1.21,466334.0
544,244920,에이플러스에셋,14.26,3.85,196687.0
545,036570,엔씨소프트,50.21,7.67,19165861.0
546,138250,엔에스쇼핑,0.0,0.93,394243.0
547,085310,엔케이,0.0,1.24,111177.0
548,009810,엔케이물산,0.0,0.78,49808.0
549,014440,영보화학,15.89,0.57,83600.0
550,111770,영원무역,10.55,0.96,1772459.0
551,009970,영원무역홀딩스,4.16,0.43,590421.0
552,003520,영진약품,219.29,9.7,1122961.0
553,000670,영풍,4.3,0.33,1072067.0
554,006740,영풍제지,13.62,1.31,156066.0
555,012280,영화금속,317.5,1.22,101717.0
556,012160,영흥,57.5,0.59,109612.0
557,015360,예스코홀딩스,7.31,0.37,202200.0
558,007310,오뚜기,19.2,1.61,2093029.0
559,002630,오리엔트바이오,0.0,3.1,187341.0
560,271560,오리온,24.02,3.19,5179233.0
561,001800,오리온홀딩스,17.72,0.46,892697.0
562,070960,용평리조트,0.0,0.58,231281.0
563,316140,우리금융지주,3.7,0.34,7294904.0
564,033660,우리금융캐피탈,6.08,0.77,624373.0
565,004720,우리들제약,343.85,1.86,131534.0
566,118000,우리들휴브레인,0.0,2.47,127007.0
567,010050,우리종금,8.82,1.28,601452.0
568,006980,우성사료,8.8,0.73,126227.0
569,017370,우신시스템,16.71,0.93,106222.0
570,105840,우진,0.0,0.84,96365.0
571,010400,우진아이엔에스,28.21,0.56,59985.0
572,049800,우진플라임,0.0,1.37,72300.0
573,016880,웅진,0.0,3.17,230991.0
