,종목코드,시장구분
618,003460,KOSPI
619,003465,KOSPI
620,008730,KOSPI
621,008250,KOSPI
622,025820,KOSPI
623,214320,KOSPI
624,088260,KOSPI
625,139480,KOSPI
626,007660,KOSPI
627,005950,KOSPI
628,015020,KOSPI
629,093230,KOSPI
630,074610,KOSPI
631,102460,KOSPI
632,084680,KOSPI
633,350520,KOSPI
634,334890,KOSPI
635,000760,KOSPI
636,014990,KOSPI
637,101140,KOSPI
638,006490,KOSPI
639,023800,KOSPI
640,034590,KOSPI
641,129260,KOSPI
642,023810,KOSPI
643,249420,KOSPI
644,000230,KOSPI
645,013360,KOSPI
646,003120,KOSPI
647,003200,KOSPI
648,007110,KOSPI
649,007570,KOSPI
650,007575,KOSPI
651,008500,KOSPI
652,081000,KOSPI
653,020760,KOSPI
654,020150,KOSPI
655,103590,KOSPI
656,271940,KOSPI
657,015860,KOSPI
658,226320,KOSPI
659,317400,KOSPI
660,033240,KOSPI
661,000950,KOSPI
662,348950,KOSPI
663,194370,KOSPI
664,025620,KOSPI
665,036420,KOSPI
666,030000,KOSPI
667,271980,KOSPI
668,001560,KOSPI
669,002620,KOSPI
670,006220,KOSPI
671,089590,KOSPI
672,004910,KOSPI
673,004700,KOSPI
674,001550,KOSPI
675,000480,KOSPI
676,120030,KOSPI
677,018470,KOSPI
678,002600,KOSPI
679,185750,KOSPI
680,063160,KOSPI
681,001630,KOSPI
682,044380,KOSPI
683,013890,KOSPI
684,013870,KOSPI
685,071320,KOSPI
686,010580,KOSPI
687,035000,KOSPI
688,088790,KOSPI
689,003780,KOSPI
690,010640,KOSPI
691,100250,KOSPI
692,051630,KOSPI
693,272450,KOSPI
694,011000,KOSPI
695,002780,KOSPI
696,002787,KOSPI
697,002785,KOSPI
698,009310,KOSPI
699,000650,KOSPI
700,033250,KOSPI
701,035720,KOSPI
702,323410,KOSPI
703,377300,KOSPI
704,006380,KOSPI
705,109070,KOSPI
706,001620,KOSPI
707,029460,KOSPI
708,281820,KOSPI
709,381970,KOSPI
710,145270,KOSPI
711,357120,KOSPI
712,007815,KOSPI
713,007810,KOSPI
714,00781K,KOSPI
715,003690,KOSPI
716,192820,KOSPI
717,044820,KOSPI
718,005070,KOSPI
719,005420,KOSPI
720,071950,KOSPI
721,002020,KOSPI
722,003070,KOSPI
723,003075,KOSPI
724,144620,KOSPI
725,002025,KOSPI
726,120110,KOSPI
727,120115,KOSPI
728,138490,KOSPI
729,021240,KOSPI
730,031820,KOSPI
731,192400,KOSPI
