,종목코드,업종명
931,115440,통신장비
932,046970,유통
933,082850,일반전기전자
934,215360,운송장비·부품
935,072470,운송장비·부품
936,073560,음식료·담배
937,153490,반도체
938,037400,유통
939,101170,기계·장비
940,066590,운송장비·부품
941,103840,음식료·담배
942,046940,건설
943,215380,기타서비스
944,065680,IT부품
945,018620,제약
946,307280,제약
947,053080,기계·장비
948,032940,유통
949,240810,반도체
950,074600,비금속
951,104830,반도체
952,014190,유통
953,131390,일반전기전자
954,030530,기계·장비
955,012620,금속
956,382840,기계·장비
957,376980,소프트웨어
958,008370,화학
959,008290,섬유·의류
960,101160,반도체
961,095270,IT부품
962,065950,섬유·의류
963,076080,건설
964,196700,화학
965,069080,디지털컨텐츠
966,053580,금융
967,071460,일반전기전자
968,044340,일반전기전자
969,330350,제약
970,348350,의료·정밀기기
971,112040,디지털컨텐츠
972,101730,디지털컨텐츠
973,065370,출판·매체복제
974,038620,유통
975,299900,오락·문화
976,036090,기계·장비
977,136540,소프트웨어
978,320000,기계·장비
979,097800,반도체
980,192390,금속
981,313760,일반전기전자
982,900340,금융
983,036200,반도체
984,018000,기계·장비
985,203450,일반전기전자
986,011320,운송장비·부품
987,086390,반도체
988,241690,운송장비·부품
989,142210,유통
990,048430,일반전기전자
991,206650,제약
992,089850,소프트웨어
993,032620,소프트웨어
994,264450,통신장비
995,078070,일반전기전자
996,024800,운송
997,054930,기타서비스
998,069330,IT부품
999,049520,IT부품
1000,313750,금융
1001,336060,금융
1002,367460,금융
1003,367480,금융
1004,056090,의료·정밀기기
1005,263770,금속
1006,340930,기계·장비
1007,023410,비금속
1008,056080,기계·장비
1009,373340,금융
1010,388800,금융
1011,084370,반도체
1012,178780,유통
1013,179900,IT부품
1014,263050,제약
1015,191410,IT부품
1016,072770,소프트웨어
1017,039020,종이·목재
1018,067920,소프트웨어
1019,044960,유통
1020,303530,소프트웨어
1021,302430,기계·장비
1022,073490,통신장비
1023,215790,통신장비
1024,246960,제약
1025,088390,운송장비·부품
1026,272290,IT부품
1027,053350,소프트웨어
1028,258610,금속
1029,041520,IT부품
1030,264850,일반전기전자
1031,054210,IT부품
1032,164060,의료·정밀기기
1033,065440,소프트웨어
1034,115610,반도체
1035,349720,금융
1036,323210,금융
1037,078020,금융
1038,131400,IT부품
1039,351330,컴퓨터서비스
1040,080010,인터넷
1041,086890,제약
1042,047560,디지털컨텐츠
1043,900110,금융
1044,067010,정보기기
1045,101360,화학
1046,102710,화학
1047,066980,디지털컨텐츠
1048,063760,반도체
1049,123570,기타서비스
1050,083470,IT부품
1051,095190,기계·장비
1052,091120,IT부품
1053,039030,반도체
1054,294090,의료·정밀기기
1055,088290,운송장비·부품
1056,181340,의료·정밀기기
1057,353810,음식료·담배
1058,099750,소프트웨어
1059,035810,음식료·담배
1060,160600,기계·장비
1061,092130,기타서비스
1062,096040,정보기기
1063,134060,출판·매체복제
1064,001840,건설
1065,024810,IT부품
1066,041830,의료·정밀기기
1067,352940,화학
1068,079950,기계·장비
1069,277410,음식료·담배
1070,060150,기타서비스
1071,033230,컴퓨터서비스
1072,037330,IT부품
1073,083640,통신장비
1074,216050,기타서비스
1075,049070,IT부품
1076,119610,의료·정밀기기
1077,017250,일반전기전자
1078,035080,유통
1079,051370,IT부품
1080,064290,반도체
1081,189300,일반전기전자
1082,150840,의료·정밀기기
1083,048530,제약
1084,175140,통신장비
1085,115310,통신서비스
1086,039290,통신서비스
1087,071200,소프트웨어
1088,016670,유통
1089,101930,운송장비·부품
1090,333430,운송장비·부품
1091,068330,기계·장비
1092,058450,IT부품
1093,019540,운송장비·부품
1094,094820,건설
1095,950140,화학
1096,049550,화학
1097,254120,기계·장비
1098,221610,화학
1099,043910,기타서비스
1100,234920,일반전기전자
1101,289220,오락·문화
1102,174880,통신장비
1103,049630,IT부품
1104,110020,화학
1105,208140,음식료·담배
1106,022220,화학
1107,040420,기타서비스
1108,045510,컴퓨터서비스
1109,217190,반도체
1110,095700,기타서비스
1111,072520,유통
1112,122310,의료·정밀기기
1113,361390,통신장비
1114,187420,제약
1115,225220,제약
1116,123330,화학
1117,159580,유통
1118,147830,금속
1119,033100,IT부품
1120,079370,기계·장비
1121,054950,기계·장비
1122,090470,반도체
1123,287410,의료·정밀기기
1124,137950,화학
1125,033320,유통
1126,204270,일반전기전자
1127,026040,기타제조
1128,126880,기계·장비
1129,322510,소프트웨어
1130,033050,출판·매체복제
1131,094970,IT부품
1132,058420,오락·문화
1133,089790,반도체
1134,052670,제약
1135,199820,일반전기전자
1136,023440,금속
1137,038010,금속
1138,276730,음식료·담배
1139,080220,반도체
1140,216080,제약
1141,229000,제약
1142,082270,기계·장비
1143,064800,유통
1144,041590,건설
1145,044060,기계·장비
1146,034940,제약
1147,067000,디지털컨텐츠
1148,033340,섬유·의류
1149,036930,반도체
1150,239340,인터넷
1151,051980,화학
1152,072020,제약
1153,000440,유통
1154,078650,의료·정밀기기
1155,228760,제약
1156,314130,제약
1157,043610,디지털컨텐츠
1158,263860,소프트웨어
1159,303030,반도체
1160,036180,유통
1161,208350,출판·매체복제
1162,114570,유통
1163,382480,기계·장비
1164,382800,기계·장비
1165,051160,소프트웨어
1166,053050,전기·가스·수도
1167,119850,일반전기전자
1168,270520,기타서비스
1169,065060,섬유·의류
1170,204840,기타서비스
1171,115450,유통
1172,219750,의료·정밀기기
1173,018120,음식료·담배
1174,109820,기타서비스
1175,086060,음식료·담배
1176,036890,기계·장비
1177,363250,의료·정밀기기
1178,007370,제약
1179,085660,제약
1180,261780,기타서비스
1181,158310,기계·장비
1182,094850,기타서비스
1183,004650,음식료·담배
1184,311690,기타서비스
1185,278280,화학
1186,096240,기타서비스
1187,066360,음식료·담배
1188,047820,오락·문화
1189,052300,운송
1190,094360,반도체
1191,016920,유통
1192,284620,기타서비스
1193,293490,디지털컨텐츠
1194,042000,인터넷
1195,317530,오락·문화
1196,071850,운송장비·부품
1197,180400,기타서비스
1198,050110,IT부품
1199,900310,금융
1200,078340,디지털컨텐츠
1201,307930,금융
1202,263700,소프트웨어
1203,214370,제약
1204,221980,화학
1205,317030,금융
1206,323940,금융
1207,330990,금융
1208,342550,금융
1209,192250,소프트웨어
1210,115500,컴퓨터서비스
1211,089150,컴퓨터서비스
1212,025880,음식료·담배
1213,093320,인터넷
1214,073010,기계·장비
1215,105330,일반전기전자
1216,272110,기계·장비
1217,039420,통신서비스
1218,083550,섬유·의류
1219,032500,통신장비
1220,225430,화학
1221,036030,유통
1222,064820,운송장비·부품
1223,347140,금융
1224,256940,반도체
1225,024880,금속
1226,042040,화학
1227,054410,금속
1228,274090,운송장비·부품
1229,217600,기타서비스
1230,089010,화학
1231,220260,화학
1232,052400,소프트웨어
1233,046070,운송장비·부품
1234,047770,섬유·의류
1235,078940,건설
1236,080530,화학
1237,224060,반도체
1238,104540,의료·정밀기기
1239,027050,화학
1240,290510,소프트웨어
1241,190650,금융
1242,101670,금속
1243,123410,운송장비·부품
1244,036690,통신장비
1245,049430,의료·정밀기기
1246,183300,반도체
1247,041960,제약
1248,089890,반도체
1249,009730,금속
1250,082660,화학
1251,222040,음식료·담배
1252,241710,화학
1253,069110,화학
1254,166480,제약
1255,045970,IT부품
