,종목코드,업종명
895,004020,철강금속
896,329180,운수장비
897,267250,화학
898,005380,운수장비
899,005387,운수장비
900,005389,운수장비
901,005385,운수장비
902,001500,증권
903,011760,유통업
904,227840,유통업
905,126560,서비스업
906,001450,보험
907,057050,유통업
908,093240,섬유의복
909,003010,유통업
910,111110,섬유의복
911,008770,유통업
912,008775,유통업
913,002460,건설업
914,378850,운수장비
915,241590,기타제조업
916,006060,화학
917,013520,운수장비
918,010690,운수장비
919,133820,철강금속
920,010660,기계
921,000850,기계
922,016580,의약품
923,032560,철강금속
924,004800,기타금융
925,094280,서비스업
926,298040,전기전자
927,298050,화학
928,298020,화학
929,298000,화학
930,093370,화학
931,081660,유통업
932,005870,전기전자
933,079980,화학
934,005010,철강금속
935,069260,화학
936,000540,보험
937,000547,보험
938,000545,보험
939,003280,운수창고업
