,거래일자,종목코드,외국인_일순매수금액
525,20210318,KR7065690000,4408160
526,20210318,KR7065710006,-19034350
527,20210318,KR7065770000,67981995
528,20210318,KR7065950008,-264687560
529,20210318,KR7066130006,-196921630
530,20210318,KR7066310004,66650150
531,20210318,KR7066360009,9610645
532,20210318,KR7066410002,67606750
533,20210318,KR7066430000,-24302750
534,20210318,KR7066590001,-49737970
535,20210318,KR7066620006,64057100
536,20210318,KR7066670001,-5948635
537,20210318,KR7066700006,-522955830
538,20210318,KR7066900002,16789015
539,20210318,KR7066910001,441851700
540,20210318,KR7066970005,552084400
541,20210318,KR7067000000,-335341300
542,20210318,KR7067010009,31068020
543,20210318,KR7067080002,-84642200
544,20210318,KR7067160002,5112465800
545,20210318,KR7067170001,267286550
546,20210318,KR7067280008,9622650
547,20210318,KR7067290007,-53622505
548,20210318,KR7067310003,-495465500
549,20210318,KR7067390005,-151987230
550,20210318,KR7067570002,-45834340
551,20210318,KR7067630004,1244317900
552,20210318,KR7067730002,-63028600
553,20210318,KR7067770008,-73563260
554,20210318,KR7067900001,-72410150
555,20210318,KR7067920009,79612820
556,20210318,KR7067990002,-18793800
557,20210318,KR7068050004,-1158677460
558,20210318,KR7068240001,-35621150
559,20210318,KR7068330000,246140000
560,20210318,KR7068760008,-821337000
561,20210318,KR7068790005,-40348480
562,20210318,KR7068930007,-38740210
563,20210318,KR7068940006,-38832855
564,20210318,KR7069080000,-3850352100
565,20210318,KR7069110005,-59451325
566,20210318,KR7069140002,56929780
567,20210318,KR7069410009,228783670
568,20210318,KR7069510006,-17565550
569,20210318,KR7070590005,169421000
570,20210318,KR7071200000,113820050
571,20210318,KR7071280002,-6453780
572,20210318,KR7071460000,308353435
573,20210318,KR7071670004,-176233000
574,20210318,KR7071850002,18812175
575,20210318,KR7072020001,-10591950
576,20210318,KR7072470008,22798830
577,20210318,KR7072520000,-303072695
578,20210318,KR7072770001,23703665
579,20210318,KR7072870009,69333100
580,20210318,KR7072950009,51881950
581,20210318,KR7072990005,12430050
582,20210318,KR7073010001,-6174220
583,20210318,KR7073110009,-35030900
584,20210318,KR7073190001,125994165
585,20210318,KR7073490005,-323597400
586,20210318,KR7073540007,-30210860
587,20210318,KR7073560005,-224807835
588,20210318,KR7073570004,-176703680
589,20210318,KR7073640005,47281155
590,20210318,KR7074430000,90338715
591,20210318,KR7074600008,-404270550
592,20210318,KR7075130005,17164930
593,20210318,KR7075970004,-497011510
594,20210318,KR7076080001,241278135
595,20210318,KR7076610005,-8097830
596,20210318,KR7077360006,-120758400
597,20210318,KR7078020005,77829950
598,20210318,KR7078070000,-67158550
599,20210318,KR7078130002,-157983330
600,20210318,KR7078140001,54041830
601,20210318,KR7078150000,-733486230
602,20210318,KR7078160009,-215552450
603,20210318,KR7078340007,-1889720300
604,20210318,KR7078350006,8048880
605,20210318,KR7078590007,-56349815
606,20210318,KR7078600004,1652864300
607,20210318,KR7078650009,-27227790
608,20210318,KR7078860004,176058775
609,20210318,KR7078890001,-437472000
610,20210318,KR7078940004,-1010760
611,20210318,KR7079000006,-46284260
612,20210318,KR7079170007,-429420670
613,20210318,KR7079370003,157131250
614,20210318,KR7079650008,-7012210
615,20210318,KR7079810008,69045710
616,20210318,KR7079940003,22083300
617,20210318,KR7079950002,7623300
618,20210318,KR7079960001,-41602100
619,20210318,KR7079970000,26114140
620,20210318,KR7080000003,-55647545
621,20210318,KR7080010002,9635100
622,20210318,KR7080160005,-2169352850
623,20210318,KR7080220007,-198078420
624,20210318,KR7080420003,-26794415
625,20210318,KR7080470008,565678380
626,20210318,KR7080520000,-25033750
627,20210318,KR7080530009,-4894755
628,20210318,KR7080580004,211711200
629,20210318,KR7080720006,-80815350
630,20210318,KR7081150005,-497653150
631,20210318,KR7081580003,1625815
632,20210318,KR7082210006,-583710160
633,20210318,KR7082270000,26164250
634,20210318,KR7082660002,-15166365
635,20210318,KR7082800004,126953050
636,20210318,KR7082850009,-330436985
637,20210318,KR7082920000,39359300
638,20210318,KR7083310003,-23093950
639,20210318,KR7083450007,-97788600
640,20210318,KR7083500009,688367850
641,20210318,KR7083550004,61695250
642,20210318,KR7083640003,269056010
643,20210318,KR7083650002,-304435815
644,20210318,KR7083660001,22232350
645,20210318,KR7083790006,892609300
646,20210318,KR7083930008,121418900
647,20210318,KR7084110006,-381191550
648,20210318,KR7084180009,19944940
649,20210318,KR7084370006,1695303550
650,20210318,KR7084650001,21638000
651,20210318,KR7084730001,83464000
652,20210318,KR7084850007,-250925900
653,20210318,KR7084990001,59878050
654,20210318,KR7085370005,-1337606100
655,20210318,KR7085660009,-342538550
656,20210318,KR7085670008,7571160
657,20210318,KR7085810000,87288980
658,20210318,KR7085910008,155041785
659,20210318,KR7086040003,-798173820
660,20210318,KR7086060001,-116775050
661,20210318,KR7086390002,2230649800
662,20210318,KR7086450004,-4234942050
663,20210318,KR7086520004,-1232354900
664,20210318,KR7086670007,106504200
665,20210318,KR7086710001,-11000
666,20210318,KR7086820008,-64283100
667,20210318,KR7086890001,-174010300
668,20210318,KR7086900008,-244330300
669,20210318,KR7086960002,-22681800
670,20210318,KR7086980000,399440155
671,20210318,KR7087010005,-1456406000
672,20210318,KR7087260006,139825305
673,20210318,KR7087600003,31916470
674,20210318,KR7088130000,-12948210
