회사명,거래소코드,회계년도,종가
NH-Amundi HANARO 200선물인버스증권상장지수투자신탁(주식-파생형),306520,2021/03/31,9010
NH-Amundi HANARO 200증권상장지수투자신탁[주식],293180,2021/03/31,42215
NH-Amundi HANARO Fn K-뉴딜디지털플러스증권상장지수투자신탁[주식],368190,2021/03/31,12465
NH-Amundi HANARO Fn5G산업증권상장지수투자신탁(주식),367740,2021/03/31,12630
NH-Amundi HANARO KAP 초장기국고채증권상장지수투자신탁(채권-파생형),346000,2021/03/31,46200
NH-Amundi HANARO KRX300증권상장지수투자신탁[주식],304760,2021/03/31,19205
NH-Amundi HANARO MSCI Korea Total Return증권상장지수투자신탁(주식),332940,2021/03/31,16960
NH-Amundi HANARO e커머스증권상장지수투자신탁[주식],322400,2021/03/31,17170
NH-Amundi HANARO 고배당증권상장지수투자신탁[주식],322410,2021/03/31,10140
NH-Amundi HANARO 글로벌럭셔리S&P 증권상장지수투자신탁(주식-파생형)(합성),354350,2021/03/31,16625
NH-Amundi HANARO 농업융복합산업증권상장지수투자신탁(주식),314700,2021/03/31,12305
NH-Amundi HANARO 단기통안채증권상장지수투자신탁(채권),306540,2021/03/31,103005
NH-Amundi HANARO 코스닥150선물레버리지증권상장지수투자신탁(주식-파생형),306530,2021/03/31,12655
NH-Amundi HANARO 코스닥150증권상장지수투자신탁[주식],304770,2021/03/31,14190
NH-Amundi HANARO 탄소효율그린뉴딜증권상장지수투자신탁[주식],375760,2021/03/31,9940
NHN보통주,181710,2021/03/31,72500
NH프라임리츠보통주,338100,2021/03/31,4395
NICE보통주,034310,2021/03/31,17100
NI스틸보통주,008260,2021/03/31,3610
NPC보통주,004250,2021/03/31,4175
OCI보통주,010060,2021/03/31,121500
S-Oil보통주,010950,2021/03/31,81200
SBI핀테크솔루션즈,950110,2021/03/31,9230
SBS미디어홀딩스보통주,101060,2021/03/31,2025
SGC에너지보통주,005090,2021/03/31,39600
SG글로벌보통주,001380,2021/03/31,3200
SHD보통주,001770,2021/03/31,23550
SH에너지화학보통주,002360,2021/03/31,940
SIMPAC보통주,009160,2021/03/31,3240
SJM보통주,123700,2021/03/31,4095
SJM홀딩스보통주,025530,2021/03/31,3615
SKC보통주,011790,2021/03/31,128500
SK가스보통주,018670,2021/03/31,106500
SK네트웍스보통주,001740,2021/03/31,5630
SK디앤디보통주,210980,2021/03/31,38650
SK보통주,034730,2021/03/31,282000
SK이노베이션 보통주,096770,2021/03/31,219000
SK증권보통주,001510,2021/03/31,882
SK케미칼보통주,285130,2021/03/31,250500
SK텔레콤보통주,017670,2021/03/31,275000
SNT모티브보통주,064960,2021/03/31,62100
SNT에너지보통주,100840,2021/03/31,17700
SNT중공업보통주,003570,2021/03/31,7500
SNT홀딩스보통주,036530,2021/03/31,18550
SPC삼립보통주,005610,2021/03/31,72500
STX보통주,011810,2021/03/31,6050
STX엔진보통주,077970,2021/03/31,7980
STX중공업보통주,071970,2021/03/31,4355
TBH글로벌보통주,084870,2021/03/31,1925
TCC스틸보통주,002710,2021/03/31,4510
WISCOM보통주,024070,2021/03/31,3695
가비아,079940,2021/03/31,15550
가온미디어,078890,2021/03/31,11750
가온전선보통주,000500,2021/03/31,30050
감성코퍼레이션,036620,2021/03/31,865
강남제비스코보통주,000860,2021/03/31,30350
강스템바이오텍,217730,2021/03/31,6850
강원랜드보통주,035250,2021/03/31,25300
강원에너지,114190,2021/03/31,2500
갤럭시아머니트리,094480,2021/03/31,8320
갤럭시아에스엠보통주,011420,2021/03/31,1790
경남스틸,039240,2021/03/31,2795
경남제약,053950,2021/03/31,7020
경농보통주,002100,2021/03/31,13600
경동나비엔보통주,009450,2021/03/31,50900
