회사명,거래소코드,회계년도,부채비율,유동비율
(주)세보엠이씨,011560,2020/12,102.85,166.59
(주)세아메카닉스,396300,2020/12,41.52,224.92
(주)세아베스틸지주,001430,2020/12,77.02,147.57
(주)세아제강,306200,2020/12,76.74,215.79
(주)세아제강지주,003030,2020/12,8.61,25.44
(주)세아특수강,019440,2020/12,39.28,319.05
(주)세아홀딩스,058650,2020/12,13.63,4.85
(주)세우글로벌,013000,2020/12,9.57,958.95
(주)세운메디칼,100700,2020/12,9.31,679.85
(주)세원물산,024830,2020/12,53.67,84.72
(주)세원정공,021820,2020/06,13.24,1011.31
(주)세이브존아이앤씨,067830,2020/12,23.74,121.54
(주)세종메디칼,258830,2020/12,4.97,1005.74
(주)세중,039310,2020/12,11.92,483.81
(주)세진중공업,075580,2020/12,145.95,70.72
(주)세진티에스,067770,2020/12,4.45,1479.42
(주)세코닉스,053450,2020/12,332.67,71.93
(주)세토피아,222810,2020/12,17.52,406.16
(주)세화피앤씨,252500,2020/12,12.34,633.55
(주)센코,347000,2020/12,25.39,662.47
(주)센트랄모텍,308170,2020/12,148.55,70.82
(주)센트럴인사이트,012600,2020/12,126.21,67.32
(주)셀레믹스,331920,2020/12,4.23,2477.21
(주)셀루메드,049180,2020/12,63.71,122.42
(주)셀리드,299660,2020/12,4.45,1242.97
(주)셀리버리,268600,2020/12,57.62,4332.91
(주)셀바스에이아이,108860,2020/12,45.42,196.98
(주)셀바스헬스케어,208370,2020/12,76.41,155.71
(주)셀트리온,068270,2020/12,39.75,254.75
(주)셀트리온제약,068760,2020/12,82.35,124.87
(주)셀트리온헬스케어,091990,2020/12,79.24,214.12
(주)셀피글로벌,068940,2020/12,108.52,195.96
(주)소룩스,290690,2020/12,54.78,172.54
(주)소마젠,950200,2020/12,35.88,357.97
(주)소프트센,032680,2020/12,59.85,186.89
(주)손오공,066910,2020/12,127.27,169.2
(주)솔고바이오메디칼,043100,2020/12,55.77,135.51
(주)솔루에타,154040,2020/12,73.2,86.45
(주)솔루엠,248070,2020/12,222.62,98.33
(주)솔본,035610,2020/12,2.11,2604.06
(주)솔트룩스,304100,2020/12,9.34,804.58
(주)쇼박스,086980,2020/12,11.83,794.35
(주)수산아이앤티,050960,2020/12,5.16,886.36
(주)수산인더스트리,126720,2020/12,19.21,322.01
(주)수산중공업,017550,2020/12,61.94,64.87
(주)수젠텍,253840,2020/12,14.53,821.31
(주)슈프리마,236200,2020/12,5.18,1155.83
(주)슈프리마아이디,317770,2020/12,4.88,2243.08
(주)슈프리마에이치큐,094840,2020/12,5.13,1787.58
(주)슈피겐코리아,192440,2020/12,15.44,438.02
(주)스마트솔루션즈,136510,2020/12,72.4,119.15
(주)스맥,099440,2020/12,135.43,127.86
(주)스카이문스테크놀로지,033790,2020/12,33.71,192.5
(주)스코넥엔터테인먼트,276040,2020/12,0,39.84
(주)스킨앤스킨,159910,2020/12,47.65,253.45
(주)스타플렉스,115570,2020/12,115.06,75.71
(주)스튜디오산타클로스엔터테인먼트,204630,2020/12,87.51,90.73
(주)스페코,013810,2020/12,77.16,78.66
(주)승일,049830,2020/12,23.14,262.12
(주)시공테크,020710,2020/12,39.61,159.51
(주)시너지이노베이션,048870,2020/12,59.04,42.56
(주)시노펙스,025320,2020/12,55.9,82.74
(주)시디즈,134790,2020/12,96.31,143.78
(주)시스웍,269620,2020/12,61.77,155.39
(주)시큐브,131090,2020/12,12.14,773.86
(주)시티랩스,139050,2020/12,78.9,34.79
(주)신도기연,290520,2020/12,32.8,252.79
(주)신도리코,029530,2020/12,7.16,1296.86
(주)신성이엔지,011930,2020/12,107.91,74.65
(주)신세계,004170,2020/12,108.94,24.3
(주)신세계아이앤씨,035510,2020/12,34.23,226.03
(주)신세계인터내셔날,031430,2020/12,83.23,131.74
(주)신세계푸드,031440,2020/12,208.57,95.45
(주)신영와코루,005800,2020/12,17.47,389.72
(주)신원,009270,2020/12,124.49,176.5
(주)신진에스엠,138070,2020/12,43.78,312.44
(주)신테카바이오,226330,2020/12,7.79,4004
(주)신한금융지주회사,055550,2020/12,,
(주)신화다이나믹스,001770,2020/12,85.53,182.81
(주)신화콘텍,187270,2020/12,85.66,121.95
(주)신흥,004080,2020/12,52.81,128.6
(주)실리콘투,257720,2020/12,38.66,254.5
(주)심텍,222800,2020/12,204.59,52.6
(주)심텍홀딩스,036710,2020/12,3.2,24.53
(주)싸이맥스,160980,2020/12,40.7,212.91
(주)싸이버원,356890,2020/12,18.22,360.76
(주)싸이토젠,217330,2020/12,54.39,1914.29
(주)쌍방울,102280,2020/12,61.03,86.91
(주)썸에이지,208640,2020/12,13.82,710.73
(주)쎄노텍,222420,2020/12,189.05,109.69
(주)쎄니트,037760,2020/12,86.72,79.89
(주)쎄트렉아이,099320,2020/12,38.8,226.59
(주)쎌마테라퓨틱스,015540,2020/12,4215.44,84.44
(주)쎌바이오텍,049960,2020/12,3.3,1940.63
(주)쏘카,403550,2020/12,296.32,95.58
(주)쏠리드,050890,2020/12,122.82,78.39
(주)씨씨에스충북방송,066790,2020/12,31.11,225.42
(주)씨아이테크,004920,2020/12,77.82,37.72
(주)씨앤씨인터내셔널,352480,2020/12,171.51,86.9
(주)씨앤투스성진,352700,2020/12,72.77,148.75
(주)씨에스,065770,2020/12,27.77,392.12
(주)씨에스에이코스믹,083660,2020/12,180.85,111.36
(주)씨엔알리서치,359090,2020/12,,
