,종목코드,PER,PBR,EPS,BPS,DIV,DPS
845,001450,7.57,1.22,5140,31859,3.47,1350
846,057050,9.74,0.88,10932,121276,1.41,1500
847,093240,0.0,1.61,0,3281,0.0,0
848,003010,52.38,0.56,84,7921,0.91,40
849,111110,5.69,1.18,2679,12961,0.0,0
850,008770,131.55,5.8,729,16539,0.36,350
851,008775,0.0,0.0,0,0,0.79,400
852,002460,5.41,0.6,2780,25103,4.52,680
853,013520,2.34,0.46,978,5028,2.18,50
854,241590,14.07,3.07,1560,7140,0.16,35
855,006060,10.49,2.04,809,4169,0.29,25
856,010690,2.76,0.35,1442,11255,2.52,100
857,133820,111.8,0.88,25,3168,0.0,0
858,010660,0.0,0.38,0,55809,0.0,0
859,000850,16.12,0.42,3251,123374,2.39,1250
860,016580,23.23,2.11,1074,11835,1.0,250
861,032560,7.16,0.75,1480,14149,0.71,75
862,004800,8.95,1.19,13692,103060,4.08,5000
863,094280,20.58,2.89,600,4274,1.62,200
864,093370,14.4,6.2,705,1638,0.0,0
865,081660,3.82,1.44,28420,75175,0.23,250
866,005870,8.24,1.57,1353,7084,0.0,0
867,079980,42.51,1.0,267,11376,2.64,300
868,005010,0.0,0.24,0,55779,3.72,500
869,069260,22.0,2.04,1118,12062,2.03,500
870,000540,12.75,0.73,484,8475,0.0,0
871,000547,0.0,0.0,0,0,0.0,0
872,000545,0.0,0.0,0,0,0.0,0
873,003280,0.0,0.48,0,1406,0.75,5
