,종목코드,코스피 일별변동 표준편차,연간 수익률,1년_만기_국채수익률,코스피 샤프지수
589,030790,5.926719581243179,220.25316455696205,0.984,36.99671657334739
590,031430,2.4176094054172674,10.655737704918032,0.984,4.000537755704478
591,031440,1.895258498540058,51.26903553299492,0.984,26.53201954864211
592,031820,3.4172131499353213,35.048231511254016,0.984,9.968424566052825
593,032350,2.9515758633103024,122.8843861740167,0.984,41.30010266356524
594,032560,2.869362708052776,106.34758126439723,0.984,36.720203050209605
595,032640,1.8556004859535162,16.113744075829384,0.984,8.153556862243887
596,032830,2.9517775705902682,91.42156862745098,0.984,30.63834129255415
597,033180,5.6309590069168065,-20.134073046694407,0.984,-3.750351054012994
598,033240,3.8712086962118017,187.93103448275863,0.984,48.29164458782523
599,033250,4.84161147557273,-5.698005698005698,0.984,-1.3801201793490177
600,033270,6.881974084273668,186.3768115942029,0.984,26.93889999060778
601,033530,4.407155670983011,203.3557046979866,0.984,45.918891867245485
602,033780,1.4393737992915134,14.647887323943662,0.984,9.49293875619334
603,033920,2.3851306639515357,40.40816326530612,0.984,16.529141929688087
604,034020,4.756710575418882,294.8395217117684,0.984,61.77704467249221
605,034120,2.7807853493944177,37.160120845921455,0.984,13.009317980548072
606,034220,2.659437725752255,114.62264150943395,0.984,42.73032619227429
607,034300,4.017436430303849,167.42857142857144,0.984,41.430542664736784
608,034310,1.7173834999283204,-4.201680672268908,0.984,-3.0195239866257864
609,034590,0.907704085376398,13.157894736842104,0.984,13.411743907480542
610,034730,3.065588467455556,75.15527950310559,0.984,24.194793362028758
611,03473K,5.13139533554736,95.48872180451127,0.984,18.416963734958568
612,034830,1.7931274025471584,49.22600619195047,0.984,26.903836349509874
613,035000,1.822375106030072,35.76470588235294,0.984,19.085371484315594
614,035150,3.0791067325176296,91.48936170212765,0.984,29.39338242040282
615,035250,2.2521171889469063,37.12737127371274,0.984,16.0486192508541
616,035420,2.4626252139049294,131.2883435582822,0.984,52.91277894116155
617,035510,2.813953240834111,55.085599194360526,0.984,19.226189834740733
618,035720,2.419520044068349,230.90343297911082,0.984,95.02687673234082
619,036420,3.3864360533320093,96.53179190751445,0.984,28.214851957267083
620,036460,2.50814299849219,59.71563981042654,0.984,23.41638409202904
621,036530,1.8096885894766406,48.99598393574297,0.984,26.53052255229612
622,036570,2.5874346452360775,41.262135922330096,0.984,15.566822526895212
623,036580,3.362822468133832,118.944099378882,0.984,35.07770644947038
624,037270,5.584349817097284,477.6850886339937,0.984,85.36375840469474
625,037560,2.096622424691627,60.78431372549019,0.984,28.52221411982926
626,037710,1.6092420220531722,26.96629213483146,0.984,16.145670930020593
627,039130,2.4392262146977965,82.74882039678818,0.984,33.52080258243628
628,039490,3.119274226509732,87.5,0.984,27.735939105554646
629,039570,1.9222900813831798,45.0,0.984,22.897688765229635
630,041650,3.759016538618262,69.77687626774848,0.984,18.300764458204632
631,042660,3.066521436311051,114.3939393939394,0.984,36.98325341901694
632,042670,4.335117479462614,217.86896095301125,0.984,50.029777043065636
633,042700,3.3748383075963244,265.2694610778443,0.984,78.31055505177002
634,044380,3.1968440968109264,-24.264178033022255,0.984,-7.897844645664474
635,044450,2.0041450979397157,64.66165413533834,0.984,31.77297601895177
636,044820,3.720417078520764,48.41628959276018,0.984,12.749186070186312
637,047040,2.839992047863514,139.4927536231884,0.984,48.7708244561412
638,047050,3.2110708048807766,88.3177570093458,0.984,27.197705163212184
639,047400,5.496343175388878,173.8255033557047,0.984,31.446636034234853
640,047810,2.4676021237669477,81.48148148148148,0.984,32.621742665141284
641,049770,1.6910512164883749,10.951008645533141,0.984,5.893972073909484
642,049800,2.9345773134554953,162.52723311546842,0.984,55.04821167081455
643,051600,1.5435666327961377,10.915492957746478,0.984,6.4341200092902975
644,051630,4.811997133688524,117.52652762532017,0.984,24.219159818157916
645,051900,2.0179017637329224,46.591970121381884,0.984,22.60168009220209
646,051905,1.5512405934094602,11.021069692058347,0.984,6.470350076384958
647,051910,3.16737023286075,175.68493150684932,0.984,55.15646061656028
648,051915,3.5009396805943087,174.28571428571428,0.984,49.50148534301371
649,052690,2.092758223554089,48.18481848184818,0.984,22.554358143526006
650,053210,2.3033332867141123,41.63934426229508,0.984,17.650656332194615
651,053690,2.908507838421284,52.85714285714286,0.984,17.834967529363514
652,055490,3.6491412232621063,271.7391304347826,0.984,74.19694494386937
653,055550,2.264370724093267,40.0,0.984,17.230394115620516
654,057050,2.020800865355736,40.94076655052265,0.984,19.77273824231502
