회사명,거래소코드,회계년도,매출액(영업수익)(*)(천원)
(주)비엠티,086670,2020/12,88157117
(주)비올,335890,2020/12,12154328
(주)비와이씨,001460,2020/12,160911486
(주)비즈니스온커뮤니케이션,138580,2020/12,16223248
(주)비지에프,027410,2020/12,51633111
(주)비지에프리테일,282330,2020/12,6167808904
(주)비츠로셀,082920,2020/12,112282194
(주)비츠로시스,054220,2021/03,3656597
(주)비츠로테크,042370,2020/12,37813211
(주)비케이홀딩스,050090,2020/12,10109534
(주)비투엔,307870,2020/12,
(주)비트나인,357880,2020/12,10986327
(주)비트컴퓨터,032850,2020/12,35750730
(주)비피도,238200,2020/12,12300222
(주)빅솔론,093190,2020/12,65999606
(주)빅텍,065450,2020/12,67286854
(주)빙그레,005180,2020/12,907529455
(주)사람인에이치알,143240,2020/12,68196343
(주)사조대림,003960,2020/12,1086176649
(주)사조오양,006090,2020/12,327621185
(주)산돌,419120,2020/12,9878795
(주)삼기,122350,2020/12,326094389
(주)삼보판지,023600,2020/12,175035219
(주)삼성출판사,068290,2020/12,56763601
(주)삼양사,145990,2020/12,1524770095
(주)삼양옵틱스,225190,2020/12,38577205
(주)삼양패키징,272550,2020/12,367569271
(주)삼양홀딩스,000070,2020/12,114140468
(주)삼에스코리아,060310,2021/03,21999630
(주)삼영에스앤씨,361670,2020/12,13557858
(주)삼원강재,023000,2020/12,245989279
(주)삼익악기,002450,2020/12,107889218
(주)삼일,032280,2020/12,83449244
(주)삼일기업공사,002290,2020/12,64691731
(주)삼일씨엔에스,004440,2020/12,186070865
(주)삼진,032750,2020/12,117133071
(주)삼진엘앤디,054090,2020/12,65093040
(주)삼천리,004690,2020/12,2394992384
(주)삼표시멘트,038500,2020/12,535842465
(주)삼화네트웍스,046390,2020/12,27890278
(주)상보,027580,2020/12,57210108
(주)상상인,038540,2020/12,97548648
(주)상상인인더스트리,101000,2020/12,27890453
(주)상아프론테크,089980,2020/12,109742451
(주)상지카일룸,042940,2020/12,17160040
(주)새로닉스,042600,2020/12,62731194
(주)새빗켐,107600,2020/12,20967013
(주)샘씨엔에스,252990,2020/12,35942187
(주)샤페론,378800,2020/12,0
(주)서남,294630,2020/12,1404478
(주)서린바이오사이언스,038070,2020/12,60880234
(주)서부티엔디,006730,2020/12,84104627
(주)서산,079650,2020/12,21931127
(주)서연,007860,2020/12,13027764
(주)서연이화,200880,2020/12,1024103476
(주)서연탑메탈,019770,2020/12,136822308
(주)서울리거,043710,2020/12,13302253
(주)서울옥션,063170,2020/12,27066754
(주)서울제약,018680,2020/12,52231917
(주)서원,021050,2020/12,194683744
(주)서원인텍,093920,2020/12,118073906
(주)서전기전,189860,2020/12,61377267
(주)서진시스템,178320,2020/12,58598807
(주)서진오토모티브,122690,2020/12,130756141
(주)서플러스글로벌,140070,2020/12,112206822
(주)서한,011370,2020/12,485236331
(주)서흥,008490,2020/12,386222751
(주)서희건설,035890,2020/12,1258385234
(주)석경에이티,357550,2020/12,6655255
(주)선광,003100,2020/12,77812756
(주)선앤엘,002820,2020/12,192982509
(주)선익시스템,171090,2020/12,65079015
(주)선진,136490,2020/12,929636829
(주)성광벤드,014620,2020/12,168177168
(주)성도이엔지,037350,2020/12,339389862
(주)성안,011300,2020/12,29612649
(주)성우하이텍,015750,2020/12,1152011182
(주)성창오토텍,080470,2020/12,71766524
(주)세경하이테크,148150,2020/12,101642753
(주)세동,053060,2020/12,109841713
(주)세림비앤지,340440,2020/12,
(주)세보엠이씨,011560,2020/12,638235326
(주)세아메카닉스,396300,2020/12,82694740
(주)세아베스틸지주,001430,2020/12,1394364933
(주)세아제강,306200,2020/12,1150466165
(주)세아제강지주,003030,2020/12,13300320
(주)세아특수강,019440,2020/12,471793047
(주)세아홀딩스,058650,2020/12,71490184
(주)세우글로벌,013000,2020/12,27452348
(주)세운메디칼,100700,2020/12,61384361
(주)세원물산,024830,2020/12,155789892
(주)세이브존아이앤씨,067830,2020/12,134723062
(주)세종메디칼,258830,2020/12,13993481
(주)세중,039310,2020/12,2926416
(주)세진중공업,075580,2020/12,267295950
(주)세진티에스,067770,2020/12,18670876
(주)세코닉스,053450,2020/12,310806161
(주)세토피아,222810,2020/12,8043121
(주)세화피앤씨,252500,2020/12,36598990
(주)센코,347000,2020/12,20125978
(주)센트랄모텍,308170,2020/12,231860590
(주)센트럴인사이트,012600,2020/12,28087427
(주)셀레믹스,331920,2020/12,5265264
(주)셀루메드,049180,2020/12,16535705
(주)셀리드,299660,2020/12,0
(주)셀리버리,268600,2020/12,761573
(주)셀바스에이아이,108860,2020/12,13673080
(주)셀바스헬스케어,208370,2020/12,19505758
(주)셀트리온,068270,2020/12,1689786997
(주)셀트리온제약,068760,2020/12,233568478
(주)셀트리온헬스케어,091990,2020/12,2116978046
(주)셀피글로벌,068940,2020/12,27667336
(주)소룩스,290690,2020/12,57630615
(주)소마젠,950200,2020/12,19005866
(주)소프트센,032680,2020/12,47614801
(주)손오공,066910,2020/12,81661930
(주)솔고바이오메디칼,043100,2020/12,16668134
(주)솔루에타,154040,2020/12,46433286
(주)솔루엠,248070,2020/12,745788442
(주)솔본,035610,2020/12,3540875
(주)솔트룩스,304100,2020/12,19328595
(주)쇼박스,086980,2020/12,46686264
(주)수산아이앤티,050960,2020/12,18063958
(주)수산인더스트리,126720,2020/12,174160141
(주)수산중공업,017550,2020/12,56155266
(주)수젠텍,253840,2020/12,41351848
(주)슈프리마,236200,2020/12,55439923
(주)슈프리마아이디,317770,2020/12,8238566
(주)슈프리마에이치큐,094840,2020/12,17680996
(주)슈피겐코리아,192440,2020/12,241905028
(주)스마트솔루션즈,136510,2020/12,13635111
(주)스맥,099440,2020/12,108462425
(주)스카이문스테크놀로지,033790,2020/12,25067702
(주)스코넥엔터테인먼트,276040,2020/12,4558263
(주)스킨앤스킨,159910,2020/12,26287208
(주)스타플렉스,115570,2020/12,57211977
(주)스튜디오산타클로스엔터테인먼트,204630,2020/12,14977004
(주)스페코,013810,2020/12,29287743
(주)승일,049830,2020/12,132798716
(주)시공테크,020710,2020/12,96247497
(주)시너지이노베이션,048870,2020/12,20602617
(주)시노펙스,025320,2020/12,84152068
(주)시디즈,134790,2020/12,227490312
(주)시스웍,269620,2020/12,18772443
(주)시큐브,131090,2020/12,14714020
(주)시티랩스,139050,2020/12,20485948
(주)신도기연,290520,2020/12,41261031
(주)신도리코,029530,2020/12,322076518
(주)신성이엔지,011930,2020/12,366980012
(주)신세계,004170,2020/12,1459802056
(주)신세계아이앤씨,035510,2020/12,480307842
(주)신세계인터내셔날,031430,2020/12,1211404312
(주)신세계푸드,031440,2020/12,1226180219
(주)신영와코루,005800,2020/12,177639797
(주)신원,009270,2020/12,690237640
(주)신진에스엠,138070,2020/12,35385842
(주)신테카바이오,226330,2020/12,609677
(주)신화다이나믹스,001770,2020/12,77326955
(주)신화콘텍,187270,2020/12,38032867
(주)신흥,004080,2020/12,116613943
(주)실리콘투,257720,2020/12,93491685
(주)심텍,222800,2020/12,1030768857
(주)심텍홀딩스,036710,2020/12,4256048
(주)싸이맥스,160980,2020/12,159710283
(주)싸이버원,356890,2020/12,20600081
