종목코드,종목명,종가,등락률,거래량,거래대금,시가총액,상장주식수
5190,동성화학,17900,0,0,0,95506595600,5335564
640,동아쏘시오홀딩스,108000,-1.37,20555,2230731500,6.64777E+11,6155346
170900,동아에스티,83700,-0.12,14594,1221307000,7.06752E+11,8443868
28100,동아지질,18450,2.22,399380,7343509500,2.12175E+11,11500000
282690,동아타이어,11450,0.88,19034,215987150,1.57243E+11,13733015
1520,동양,1385,-1.42,1020028,1425333305,3.30577E+11,238684063
1527,동양2우B,11900,-0.83,1585,18925800,3671971100,308569
1529,동양3우B,24200,-1.02,968,23503150,2171272400,89722
84670,동양고속,23850,0.21,8418,199809000,69059320650,2895569
2900,동양물산,1690,-2.59,6915224,11842357130,2.31323E+11,136877565
82640,동양생명,4230,1.93,888813,3738575720,6.82547E+11,161358585
1525,동양우,6470,-0.61,2072,13432430,3996719570,617731
8970,동양철관,1270,-1.55,1972353,2506320325,1.50984E+11,118885290
92780,동양피스톤,5620,-0.71,80150,448798150,74006745200,13168460
49770,동원F&B,192500,-1.03,6444,1243904500,7.42881E+11,3859124
18500,동원금속,1190,0.42,852138,1007495455,55638370270,46754933
6040,동원산업,257000,-0.39,3440,882857000,9.45154E+11,3677641
30720,동원수산,8810,-0.23,23847,209588960,41000022050,4653805
14820,동원시스템즈,48450,0.94,37676,1806485050,1.24122E+12,25618511
14825,동원시스템즈우,33250,1.22,1163,37799400,8823153500,265358
163560,동일고무벨트,9190,0.33,46664,428201380,1.25444E+11,13650000
4890,동일산업,78900,-0.13,689,54347700,1.91349E+11,2425215
2690,동일제강,3335,-2.91,522512,1738864910,50025000000,15000000
20,동화약품,14250,0.71,142773,2018632600,3.98023E+11,27931470
150,두산,49950,1.11,96185,4743177600,8.25366E+11,16523835
157,두산2우B,58900,0,488,28764800,52599938200,893038
241560,두산밥캣,42100,4.34,629895,26012224750,4.22049E+12,100249166
155,두산우,39600,0.38,4916,194094250,1.5826E+11,3996462
42670,두산인프라코어,11350,0.89,6643226,75492609200,2.46367E+12,217063302
34020,두산중공업,13000,-1.52,2549685,33233174600,4.87029E+12,374637429
336260,두산퓨얼셀,51300,-0.58,495818,25123015200,3.35983E+12,65493726
33626K,두산퓨얼셀1우,15050,-1.95,48649,736549350,2.01131E+11,13364200
33626L,두산퓨얼셀2우B,18350,-0.54,6048,110175000,54798605000,2986300
16740,두올,5120,3.85,1369917,6947873730,1.38581E+11,27066680
192650,드림텍,9460,0.42,158224,1496671400,6.2355E+11,65914378
24090,디씨엠,17600,2.92,103369,1785448900,2.0592E+11,11700000
3160,디아이,6970,-0.14,167744,1172418980,2.19533E+11,31496785
92200,디아이씨,3160,2.93,263619,810402765,1.22888E+11,38888569
13570,디와이,5710,-0.52,92341,527314360,1.50285E+11,26319633
210540,디와이파워,18850,-3.33,191895,3620127500,2.08136E+11,11041708
7340,디티알오토모티브,31100,0.16,19314,600728500,3.10814E+11,9994005
26890,디피씨,12700,4.96,8350059,1.06845E+11,5.29313E+11,41678175
115390,락앤락,14750,-0.67,127655,1883139250,7.81863E+11,53007638
32350,롯데관광개발,18700,0.27,412795,7692840450,1.29545E+12,69275662
330590,롯데리츠,5210,-0.19,444241,2309904190,1.26587E+12,242968884
400,롯데손해보험,1845,0.82,1347579,2487705325,5.72571E+11,310336320
23530,롯데쇼핑,126000,0.4,83488,10533673500,3.56438E+12,28288755
4000,롯데정밀화학,58700,2.44,213604,12442177000,1.51446E+12,25800000
286940,롯데정보통신,38100,-0.39,17138,654202600,5.866E+11,15396331
280360,롯데제과,133000,-1.48,8100,1078983500,8.53423E+11,6416717
4990,롯데지주,34000,1.04,160303,5424186900,3.56691E+12,104909237
00499K,롯데지주우,59000,0,510,30120000,58269757000,987623
5300,롯데칠성,136500,0.37,35285,4810793500,1.2251E+12,8975123
5305,롯데칠성우,64900,0.15,1479,95978000,50317619000,775310
11170,롯데케미칼,301000,0,168395,51065798500,1.03169E+13,34275419
2270,롯데푸드,378500,-0.39,1883,715188000,4.28413E+11,1131870
71840,롯데하이마트,41900,1.82,86074,3598548700,9.89163E+11,23607712
27740,마니커,713,0.14,945846,671169074,1.41511E+11,198472594
204320,만도,65800,-2.52,534332,35238680300,3.08978E+12,46957120
1080,만호제강,20250,1,12394,248482550,84037500000,4150000
88980,맥쿼리인프라,11650,0.87,958809,11190853700,4.33604E+12,372192485
94800,맵스리얼티1,4460,0.45,71643,318205705,4.14041E+11,92834331
138040,메리츠금융지주,17200,5.52,400848,6840387000,2.30499E+12,134011294
8560,메리츠증권,4610,4.3,4074105,18567317760,3.11618E+12,675961727
60,메리츠화재,19350,5.16,955676,18304264950,2.33409E+12,120625000
90370,메타랩스,1175,-0.42,940321,1088283245,74835675975,63689937
17180,명문제약,5200,-0.95,237345,1239722870,1.76558E+11,33953454
9900,명신산업,25500,-1.92,237554,6132715350,1.03987E+12,40779120
12690,모나리자,5230,-2.79,1680175,8949717180,1.91268E+11,36571255
5360,모나미,5230,3.56,17643162,1.0377E+11,98832915610,18897307
204210,모두투어리츠,3400,1.8,21689,73493990,26611171000,7826815
9680,모토닉,12800,-1.54,74973,968855350,4.224E+11,33000000
9580,무림P&P,4955,-2.46,411383,2037386410,3.09035E+11,62368324
9200,무림페이퍼,2910,-0.34,117601,342315870,1.21083E+11,41609310
33920,무학,6880,-0.29,31645,218588010,1.9608E+11,28500000
8420,문배철강,4010,5.8,5384473,21608076975,82219055050,20503505
25560,미래산업,3235,1.09,120892,386981170,60374575315,18662929
7120,미래아이앤지,519,0.97,1263644,649589933,67202272812,129484148
6800,미래에셋대우,9860,1.13,2610232,25841768380,6.26422E+12,635316408
00680K,미래에셋대우2우B,4450,1.71,344914,1529065980,6.23E+11,140000000
6805,미래에셋대우우,4950,1.23,58885,290933495,69674962500,14075750
357250,미래에셋맵스리츠,4910,-0.2,48823,239627005,98691000000,20100000
85620,미래에셋생명,4200,-0.36,316415,1326655330,7.43468E+11,177016189
2840,미원상사,188500,-0.26,9211,1741422000,9.36845E+11,4970000
268280,미원에스씨,169000,1.2,5086,853907500,8.619E+11,5100000
107590,미원홀딩스,112000,-4.27,25173,2884708000,2.5984E+11,2320000
134380,미원화학,88000,2.33,6959,605185000,1.93536E+11,2199268
3650,미창석유,74400,0,1411,105078600,1.29432E+11,1739672
155900,바다로19호,2560,0.79,14028,35922710,38912010240,15200004
3610,방림,2300,0.22,214323,491831535,97322407000,42314090
1340,백광산업,4555,-0.76,1707931,7879061240,2.04603E+11,44918407
35150,백산,9900,-6.16,1691678,16990138650,2.3958E+11,24200000
2410,범양건영,4170,3.86,390735,1612565720,1.03549E+11,24831982
96300,베트남개발1,230,0.44,75118,17236748,31666448530,137680211
7210,벽산,2870,4.17,4801390,13736710735,1.96767E+11,68560000
2760,보락,2210,-0.23,303267,673843605,1.32379E+11,59900000
3850,보령제약,20800,-0.95,297334,6211302600,1.0841E+12,52120000
890,보해양조,1130,0,9950347,11231103680,1.44018E+11,127449373
3000,부광약품,23600,1.07,486580,11541643200,1.53018E+12,64837978
1270,부국증권,22750,0.89,10774,245166100,2.35915E+11,10369886
1275,부국증권우,20200,0.75,1476,29647650,60600000000,3000000
26940,부국철강,4170,0.85,215653,899238875,83400000000,20000000
15350,부산가스,57500,0,2538,144564100,6.325E+11,11000000
11390,부산산업,129500,1.57,10895,1402464500,1.36752E+11,1056000
