,종목코드,PER,PBR,EPS,BPS,DIV,DPS
340,027740,0.0,1.37,0,522,0.0,0
341,204320,27.88,2.04,2360,32193,0.84,550
342,001080,48.21,0.36,420,55976,0.99,200
343,138040,6.15,0.88,2797,19600,3.2,550
344,008560,4.99,0.81,924,5695,4.34,200
345,000060,7.19,0.9,2693,21397,4.39,850
346,090370,0.0,1.15,0,1022,0.0,0
347,017180,0.0,1.79,0,2912,0.0,0
348,009900,17.97,11.41,1419,2235,0.0,0
349,012690,79.24,2.94,66,1781,0.96,50
350,005360,0.0,1.35,0,3873,1.34,70
351,009680,24.9,1.04,514,12362,2.34,300
352,009580,30.59,0.5,162,9842,3.53,175
353,009200,0.0,0.28,0,10529,1.72,50
354,033920,8.1,0.38,849,18067,0.0,0
355,008420,33.14,0.74,121,5430,1.25,50
356,025560,0.0,0.84,0,3850,0.0,0
357,007120,4.76,0.97,109,537,0.0,0
358,006800,10.31,0.88,956,11236,2.64,260
359,00680K,0.0,0.0,0,0,6.43,286
360,006805,0.0,0.0,0,0,5.78,286
361,085620,6.16,0.36,682,11792,4.05,170
362,002840,30.59,4.27,6163,44134,0.35,654
363,268280,22.36,3.57,7559,47326,1.01,1700
364,107590,16.99,1.78,6591,62937,0.36,400
365,134380,13.1,1.89,6719,46438,1.14,1000
366,003650,6.55,0.5,11366,148274,2.69,2000
367,003610,15.97,0.51,144,4475,1.74,40
368,001340,12.21,1.22,373,3726,1.65,75
369,035150,34.38,1.69,288,5853,1.01,100
370,002410,5.25,1.48,794,2819,0.0,0
371,007210,0.0,0.85,0,3390,0.0,0
372,002760,200.91,3.01,11,734,0.23,5
373,003850,29.67,3.55,701,5858,0.48,100
374,000890,0.0,1.78,0,635,0.0,0
375,003000,0.0,5.26,0,4489,0.85,200
376,001270,7.41,0.63,3070,36295,5.27,1200
377,001275,0.0,0.0,0,0,6.19,1250
378,026940,45.33,0.74,92,5627,1.8,75
379,015350,11.75,0.94,4892,60885,1.74,1000
380,011390,35.15,2.45,3684,52812,0.19,250
381,005030,0.0,0.96,0,709,0.0,0
382,002070,0.0,0.55,0,6310,0.0,0
383,100220,7.5,0.42,921,16496,3.62,250
384,030790,0.0,1.89,0,6679,0.0,0
385,352820,82.34,39.75,2951,6113,0.0,0
386,005180,12.9,1.03,4644,57976,2.42,1450
387,003960,1.49,0.52,12182,34643,0.83,150
388,008040,192.14,0.96,7,1394,0.0,0
389,007160,0.0,0.62,0,79920,0.3,150
390,014710,0.0,0.49,0,11862,0.0,0
391,006090,7.77,0.61,1402,17782,0.92,100
392,001470,52.13,2.08,61,1531,0.0,0
393,006400,123.8,3.77,5331,175114,0.15,1000
394,006405,0.0,0.0,0,0,0.23,1050
395,006660,16.53,0.37,593,26712,0.61,60
396,028260,19.56,0.99,6366,125948,1.61,2000
397,02826K,0.0,0.0,0,0,1.72,2050
398,207940,243.89,11.37,3067,65812,0.0,0
